corpus,feature,modele_1,modele_2,pearson_r,p_value,n
Transcodage_2,profondeur_arbre_max,zenodo-spoken,stanza,0.8564,3.374315745753566e-288,998
Transcodage_2,profondeur_arbre_moy,gsd,fsmb,0.8638,7.887305772829259e-299,998
Transcodage_2,profondeur_arbre_moy,gsd,sequoia,0.912,0.0,998
Transcodage_2,profondeur_arbre_moy,gsd,rhapsodie,0.8624,1.0746017070438767e-296,998
Transcodage_2,profondeur_arbre_moy,gsd,zenodo-spoken,0.8749,7.8440111e-316,998
Transcodage_2,profondeur_arbre_moy,gsd,stanza,0.8399,1.3598579311490827e-266,998
Transcodage_2,profondeur_arbre_moy,fsmb,sequoia,0.8669,1.802882702878328e-303,998
Transcodage_2,profondeur_arbre_moy,fsmb,rhapsodie,0.8112,2.5262783001758333e-234,998
Transcodage_2,profondeur_arbre_moy,fsmb,zenodo-spoken,0.8473,5.145451724474762e-276,998
Transcodage_2,profondeur_arbre_moy,fsmb,stanza,0.8173,1.1929943314747539e-240,998
Transcodage_2,profondeur_arbre_moy,sequoia,rhapsodie,0.8623,1.3871585059182876e-296,998
Transcodage_2,profondeur_arbre_moy,sequoia,zenodo-spoken,0.8822,0.0,998
Transcodage_2,profondeur_arbre_moy,sequoia,stanza,0.838,3.1759393401543033e-264,998
Transcodage_2,profondeur_arbre_moy,rhapsodie,zenodo-spoken,0.894,0.0,998
Transcodage_2,profondeur_arbre_moy,rhapsodie,stanza,0.7977,4.883480198828886e-221,998
Transcodage_2,profondeur_arbre_moy,zenodo-spoken,stanza,0.8139,4.377643669136539e-237,998
Transcodage_2,distance_dependance_max,gsd,fsmb,0.9439,0.0,998
Transcodage_2,distance_dependance_max,gsd,sequoia,0.9505,0.0,998
Transcodage_2,distance_dependance_max,gsd,rhapsodie,0.9268,0.0,998
Transcodage_2,distance_dependance_max,gsd,zenodo-spoken,0.9512,0.0,998
Transcodage_2,distance_dependance_max,gsd,stanza,0.9166,0.0,998
Transcodage_2,distance_dependance_max,fsmb,sequoia,0.9604,0.0,998
Transcodage_2,distance_dependance_max,fsmb,rhapsodie,0.909,0.0,998
Transcodage_2,distance_dependance_max,fsmb,zenodo-spoken,0.9327,0.0,998
Transcodage_2,distance_dependance_max,fsmb,stanza,0.9117,0.0,998
Transcodage_2,distance_dependance_max,sequoia,rhapsodie,0.9352,0.0,998
Transcodage_2,distance_dependance_max,sequoia,zenodo-spoken,0.9508,0.0,998
Transcodage_2,distance_dependance_max,sequoia,stanza,0.923,0.0,998
Transcodage_2,distance_dependance_max,rhapsodie,zenodo-spoken,0.9379,0.0,998
Transcodage_2,distance_dependance_max,rhapsodie,stanza,0.9048,0.0,998
Transcodage_2,distance_dependance_max,zenodo-spoken,stanza,0.9227,0.0,998
Transcodage_2,distance_dependance_moy,gsd,fsmb,0.8187,3.771509925805514e-242,998
Transcodage_2,distance_dependance_moy,gsd,sequoia,0.9112,0.0,998
Transcodage_2,distance_dependance_moy,gsd,rhapsodie,0.8436,3.345603967872982e-271,998
Transcodage_2,distance_dependance_moy,gsd,zenodo-spoken,0.8837,0.0,998
Transcodage_2,distance_dependance_moy,gsd,stanza,0.8282,1.0137947173711074e-252,998
Transcodage_2,distance_dependance_moy,fsmb,sequoia,0.8668,2.9349211760657256e-303,998
Transcodage_2,distance_dependance_moy,fsmb,rhapsodie,0.7708,3.220348456420782e-197,998
Transcodage_2,distance_dependance_moy,fsmb,zenodo-spoken,0.8002,2.1053105143463063e-223,998
Transcodage_2,distance_dependance_moy,fsmb,stanza,0.7752,6.407792964368351e-201,998
Transcodage_2,distance_dependance_moy,sequoia,rhapsodie,0.8513,3.102454368438932e-281,998
Transcodage_2,distance_dependance_moy,sequoia,zenodo-spoken,0.8853,0.0,998
Transcodage_2,distance_dependance_moy,sequoia,stanza,0.829,1.3717731826601945e-253,998
